alpha,alpha_scale,DTime,model,obs_error,Power_annual,Power_biennial,Power_Improve_annual,Specificity_annual,Specificity_biennial
0.933,0.5,3.5,Gompertz,0.5,0.805,0,0.805,1,1
0.933,0.5,3.5,logistic,0.5,0.675,0.215,0.46,0.9875,1
0.933,0.25,3.5,logistic,0.5,0.9475,0.4925,0.455,0.99,1
0.641,0.25,3.5,Gompertz,0.5,0.55,0.0975,0.4525,1,1
0.933,0.5,3.5,Gompertz,1.5,0.58,0.16,0.42,0.955,0.925
0.641,0.25,3.5,Gompertz,1.5,0.57,0.1825,0.3875,0.95,0.9575
0.641,0.5,7.5,Gompertz,0.5,0.6275,0.26,0.3675,1,1
0.933,0.75,3.5,Gompertz,2.5,0.5,0.1475,0.3525,0.845,0.825
0.641,0.75,3.5,logistic,0.5,0.34,0.0025,0.3375,0.8875,1
0.933,0.75,3.5,Gompertz,1.5,0.395,0.06,0.335,0.945,0.9475
0.933,0.5,3.5,Gompertz,2.5,0.6275,0.295,0.3325,0.845,0.825
0.933,0.75,3.5,logistic,1.5,0.3475,0.0425,0.305,0.8,0.95
0.933,0.25,3.5,logistic,1.5,0.745,0.445,0.3,0.8,0.955
0.641,0.75,3.5,Gompertz,0.5,0.3325,0.035,0.2975,1,1
0.933,0.75,3.5,Gompertz,0.5,0.2975,0,0.2975,1,1
0.641,0.5,3.5,logistic,0.5,0.7,0.4125,0.2875,0.89,1
0.933,0.75,7.5,Gompertz,0.5,0.305,0.02,0.285,1,1
0.641,0.75,5.5,logistic,0.5,0.31,0.03,0.28,0.9275,1
0.933,0.75,3.5,logistic,2.5,0.44,0.1625,0.2775,0.66,0.8175
0.641,0.5,3.5,Gompertz,1.5,0.555,0.2875,0.2675,0.9575,0.96
0.933,0.75,5.5,Gompertz,0.5,0.2675,0,0.2675,1,1
0.933,0.75,5.5,logistic,0.5,0.2625,0,0.2625,0.99,1
0.933,0.75,7.5,logistic,0.5,0.2725,0.0275,0.245,0.9925,1
0.641,0.75,3.5,logistic,1.5,0.395,0.155,0.24,0.6925,0.9225
0.933,0.75,5.5,Gompertz,2.5,0.415,0.18,0.235,0.8475,0.845
0.349,0.25,3.5,Gompertz,0.5,0.6575,0.4325,0.225,1,1
0.641,0.75,5.5,Gompertz,0.5,0.2875,0.0625,0.225,1,1
0.933,0.75,5.5,logistic,2.5,0.3625,0.1375,0.225,0.675,0.83
0.933,0.25,5.5,logistic,0.5,0.965,0.7525,0.2125,0.9925,1
0.349,0.5,3.5,Gompertz,1.5,0.5225,0.325,0.1975,0.94,0.945
0.349,0.25,3.5,Gompertz,1.5,0.5675,0.3725,0.195,0.93,0.955
0.933,0.75,3.5,logistic,0.5,0.19,0,0.19,0.995,1
0.641,0.5,7.5,logistic,0.5,0.435,0.245,0.19,0.89,1
0.933,0.75,5.5,Gompertz,1.5,0.2375,0.0525,0.185,0.955,0.955
0.641,0.75,3.5,Gompertz,1.5,0.465,0.2825,0.1825,0.9675,0.9725
0.933,0.25,3.5,logistic,2.5,0.6675,0.4875,0.18,0.655,0.8825
0.933,0.5,7.5,Gompertz,0.5,0.235,0.0625,0.1725,1,1
0.641,0.75,5.5,logistic,1.5,0.3675,0.205,0.1625,0.7375,0.9325
0.641,0.25,3.5,Gompertz,2.5,0.5475,0.385,0.1625,0.8575,0.845
0.641,0.25,5.5,Gompertz,1.5,0.6725,0.5125,0.16,0.935,0.9675
0.349,0.25,7.5,Gompertz,0.5,0.9725,0.8175,0.155,1,1
0.933,0.5,3.5,logistic,1.5,0.5725,0.4175,0.155,0.815,0.9425
0.641,0.5,3.5,Gompertz,2.5,0.595,0.44,0.155,0.825,0.855
0.641,0.75,7.5,logistic,0.5,0.19,0.0375,0.1525,0.9,1
0.349,0.25,7.5,logistic,0.5,0.7825,0.63,0.1525,0.72,0.88
0.641,0.25,5.5,Gompertz,0.5,0.83,0.6875,0.1425,1,1
0.641,0.5,3.5,Gompertz,0.5,0.265,0.125,0.14,1,1
0.641,0.75,5.5,Gompertz,1.5,0.405,0.265,0.14,0.965,0.955
0.933,0.75,7.5,logistic,2.5,0.355,0.215,0.14,0.645,0.8225
0.933,0.25,5.5,Gompertz,0.5,0.945,0.81,0.135,1,1
0.933,0.5,7.5,logistic,0.5,0.2075,0.075,0.1325,0.985,1
0.641,0.25,3.5,logistic,1.5,0.635,0.5075,0.1275,0.73,0.91
0.641,0.25,3.5,logistic,0.5,0.955,0.83,0.125,0.8825,1
0.349,0.75,7.5,Gompertz,0.5,0.6925,0.575,0.1175,1,1
0.933,0.5,5.5,Gompertz,0.5,0.2525,0.14,0.1125,1,1
0.641,0.5,5.5,logistic,0.5,0.65,0.5425,0.1075,0.8825,1
0.641,0.75,3.5,Gompertz,2.5,0.4975,0.39,0.1075,0.8725,0.8425
0.933,0.75,7.5,Gompertz,1.5,0.24,0.1375,0.1025,0.9625,0.9625
0.641,0.75,7.5,Gompertz,0.5,0.1675,0.0675,0.1,1,1
0.933,0.75,7.5,Gompertz,2.5,0.365,0.265,0.1,0.86,0.8075
0.349,0.75,7.5,logistic,0.5,0.39,0.2925,0.0975,0.765,0.8975
0.349,0.5,3.5,Gompertz,0.5,0.61,0.5125,0.0975,1,1
0.349,0.75,3.5,Gompertz,1.5,0.4525,0.3575,0.095,0.9475,0.9575
0.933,0.5,5.5,logistic,1.5,0.4325,0.34,0.0925,0.825,0.97
0.933,0.75,7.5,logistic,1.5,0.1975,0.1075,0.09,0.7625,0.9625
0.641,0.75,5.5,logistic,2.5,0.4525,0.365,0.0875,0.625,0.71
0.349,0.25,3.5,Gompertz,2.5,0.56,0.4775,0.0825,0.8375,0.84
0.349,0.75,5.5,logistic,0.5,0.4325,0.35,0.0825,0.7675,0.87
0.641,0.5,3.5,logistic,1.5,0.495,0.415,0.08,0.725,0.8975
0.641,0.75,5.5,Gompertz,2.5,0.4475,0.3675,0.08,0.8425,0.845
0.349,0.75,3.5,Gompertz,2.5,0.5225,0.445,0.0775,0.8125,0.83
0.349,0.5,3.5,Gompertz,2.5,0.525,0.45,0.075,0.805,0.8475
0.933,0.5,5.5,Gompertz,2.5,0.54,0.4675,0.0725,0.845,0.855
0.641,0.25,5.5,Gompertz,2.5,0.665,0.595,0.07,0.8375,0.84
0.641,0.75,3.5,logistic,2.5,0.415,0.345,0.07,0.605,0.7325
0.641,0.5,7.5,Gompertz,2.5,0.555,0.4875,0.0675,0.845,0.87
0.641,0.25,3.5,logistic,2.5,0.61,0.5425,0.0675,0.6025,0.7425
0.933,0.5,5.5,logistic,0.5,0.1925,0.1275,0.065,0.995,1
0.641,0.75,7.5,logistic,1.5,0.21,0.145,0.065,0.7375,0.925
0.349,0.5,7.5,logistic,0.5,0.7075,0.645,0.0625,0.79,0.87
0.349,0.75,3.5,logistic,0.5,0.4,0.3425,0.0575,0.7175,0.87
0.641,0.25,7.5,Gompertz,0.5,0.9625,0.905,0.0575,1,1
0.349,0.5,5.5,Gompertz,1.5,0.6775,0.6225,0.055,0.95,0.9425
0.933,0.25,7.5,Gompertz,0.5,0.9975,0.9475,0.05,1,1
0.933,0.5,3.5,logistic,2.5,0.5625,0.5125,0.05,0.6225,0.845
0.933,0.5,7.5,logistic,1.5,0.3375,0.29,0.0475,0.7875,0.95
0.933,0.5,7.5,Gompertz,1.5,0.29,0.245,0.045,0.96,0.9575
0.641,0.5,5.5,Gompertz,0.5,0.825,0.78,0.045,1,1
0.933,0.25,5.5,logistic,1.5,0.685,0.645,0.04,0.795,0.94
0.933,0.25,5.5,Gompertz,1.5,0.7475,0.7075,0.04,0.9675,0.9625
